 train         node      observed        predicted
     y          364    0.318920         0.314086     
     y          364    0.329920         0.282586     
     y          366    0.348300         0.258867     
     y          366    0.374800         0.344214     
     y          366    0.409330         0.424540     
     y          366    0.450900         0.492588     
     y          367    0.497700         0.566741     
     y          367    0.547290         0.568848     
     y          367    0.596800         0.577323     
     y          367    0.643140         0.605707     
     y          367    0.683350         0.661841     
     y          367    0.714830         0.670428     
     y          365    0.735580         0.753074     
     y          365    0.744450         0.735882     
     y          365    0.741200         0.712916     
     y          365    0.726570         0.687906     
     y          365    0.702190         0.664760     
     y          365    0.670410         0.645988     
     y          365    0.634080         0.631848     
     y          365    0.596230         0.620540     
     y          364    0.559750         0.489374     
     y          364    0.527140         0.489374     
     y          364    0.500210         0.489374     
     y          364    0.479940         0.491414     
     y          364    0.466390         0.500594     
     y          719    0.458690         0.357000     
     y         1435    0.455170         0.426548     
     y         1435    0.453510         0.497523     
     y          356    0.450970         0.454504     
     y          356    0.444670         0.454504     
     y          356    0.431880         0.413320     
     y          364    0.410290         0.405724     
     y          364    0.378240         0.347393     
     y          364    0.334910         0.307999     
     y          364    0.280430         0.287229     
     y          364    0.215820         0.283213     
     y           21    0.142970         0.153125     
     y           21    0.643930E-001    0.442900E-001
     y           21   -0.169760E-001   -0.459879E-001
     y           21   -0.981120E-001   -0.120761     
     y           21   -0.176180        -0.183569     
     y           21   -0.248790        -0.238087     
     y           21   -0.314240        -0.287806     
     y           21   -0.371630        -0.335740     
     y           21   -0.420940        -0.384118     
     y           21   -0.462960        -0.434144     
     y           21   -0.499230        -0.485817     
     y           21   -0.531860        -0.537928     
     y           21   -0.563250        -0.588277     
     y           21   -0.595950        -0.634093     
     y           21   -0.632300        -0.672605     
     y           21   -0.674260        -0.701666     
     y           21   -0.723150        -0.720235     
     y           21   -0.779590        -0.728635     
     y           12   -0.843330        -0.838720     
     y           12   -0.913340        -0.927113     
     y           12   -0.987870         -1.00121     
     y           12    -1.06460         -1.06765     
     y           12    -1.14100         -1.13181     
     y           12    -1.21430         -1.19708     
     y           12    -1.28190         -1.26450     
     y           12    -1.34180         -1.33234     
     y           12    -1.39250         -1.39633     
     y           12    -1.43310         -1.45012     
     y           12    -1.46350         -1.48663     
     y           12    -1.48440         -1.49951     
     y           12    -1.49710         -1.49680     
     y           12    -1.50330         -1.49680     
     y           12    -1.50520         -1.49680     
     y           12    -1.50500         -1.49680     
     y           12    -1.50480         -1.49680     
     y           26    -1.50610         -1.49928     
     y           26    -1.51040         -1.50158     
     y           26    -1.51800         -1.51253     
     y           26    -1.52890         -1.53195     
     y           26    -1.54220         -1.54220     
