,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,cat
280,-0.072858,-0.14955,-0.21703,-0.26692,-0.29233,-0.28855,-0.25353,-0.18808,-0.095828,0.017123,0.017456,0.04256,0.057406,0.060658,0.052231,0.033291,0.006109,-0.026121,-0.059422,-0.089257,wiener
193,-0.43903,-0.28836,-0.16409,-0.068736,-0.0019646,0.039373,0.060885,0.070074,0.075567,0.086251,-0.082347,-0.13816,-0.18826,-0.22361,-0.23928,-0.23536,-0.21566,-0.18541,-0.14941,-0.1112,wiener
225,1.3019,1.3155,1.3532,1.4116,1.4848,1.5651,1.6439,1.7119,1.761,1.7841,0.37777,0.37253,0.36948,0.36941,0.37274,0.37936,0.38858,0.39919,0.4097,0.41867,wiener
80,-0.12907,-0.04956,0.026654,0.091048,0.13656,0.1583,0.15397,0.12417,0.072242,0.0040044,-0.057148,-0.12342,-0.17638,-0.21375,-0.23446,-0.23883,-0.22849,-0.20618,-0.1755,-0.14054,hammerstein
454,-0.22705,-0.28277,-0.30629,-0.29814,-0.26167,-0.20274,-0.12907,-0.04956,0.026654,0.091048,0.72571,0.69621,0.65722,0.60886,0.55221,0.48922,0.42248,0.35503,0.29,0.23032,nde
560,-1.5566,-1.4415,-1.328,-1.2247,-1.1386,-1.0747,-1.0353,-1.02,-1.0253,-1.0455,-1.0646,-1.141,-1.2143,-1.2819,-1.3418,-1.3925,-1.4331,-1.4635,-1.4844,-1.4971,nde
140,0.30423,0.34163,0.37,0.381,0.3678,0.32571,0.25274,0.14974,0.020379,-0.12919,0.4777,0.42536,0.37847,0.33877,0.30703,0.28289,0.26495,0.25082,0.23729,0.22062,hammerstein
446,0.6958,0.60906,0.49887,0.37133,0.23442,0.097206,-0.030973,-0.14145,-0.22705,-0.28277,0.84606,0.81848,0.79911,0.78621,0.77738,0.76979,0.76046,0.74656,0.72571,0.69621,nde
351,-0.99771,-0.96908,-0.95286,-0.95586,-0.98274,-1.0355,-1.1133,-1.2125,-1.3271,-1.449,-0.39498,-0.36819,-0.34239,-0.32228,-0.30986,-0.30554,-0.30888,-0.31887,-0.33404,-0.35256,wiener
313,1.0238,1.074,1.0938,1.0808,1.0357,0.96175,0.86495,0.75306,0.63499,0.51994,0.27519,0.31052,0.34093,0.36174,0.37099,0.36952,0.35979,0.3445,0.32578,0.30497,wiener
86,0.15397,0.12417,0.072242,0.0040044,-0.072858,-0.14955,-0.21703,-0.26692,-0.29233,-0.28855,-0.22849,-0.20618,-0.1755,-0.14054,-0.10552,-0.074317,-0.050134,-0.035107,-0.030139,-0.034847,hammerstein
