,u_0,y_0,y_1
458,-2.6271,-0.37493,-0.81622
459,-2.0041,-0.81622,-0.93175
460,-2.0041,-0.93175,-0.99585
461,-2.0041,-0.99585,-1.0343
462,-2.9779,-1.0343,-1.1208
463,-2.9779,-1.1208,-1.1673
464,-2.9779,-1.1673,-1.1948
465,1.8546,-1.1948,-0.88292
466,1.8546,-0.88292,-0.28726
467,1.8546,-0.28726,0.33631
468,0.96248,0.33631,0.49005
469,0.96248,0.49005,0.58488
470,0.96248,0.58488,0.64494
471,-2.0568,0.64494,-0.090228
472,-2.0568,-0.090228,-0.59744
473,-2.0568,-0.59744,-0.82995
474,1.407,-0.82995,-0.33063
475,1.407,-0.33063,0.17987
476,1.407,0.17987,0.50237
477,1.3051,0.50237,0.66
478,1.3051,0.66,0.75172
479,1.3051,0.75172,0.80784
480,0.83302,0.80784,0.77634
481,0.83302,0.77634,0.75307
482,0.83302,0.75307,0.73614
483,-0.12204,0.73614,0.53867
484,-0.12204,0.53867,0.36465
485,-0.12204,0.36465,0.22663
486,-0.82527,0.22663,-0.085954
487,-0.82527,-0.085954,-0.29869
488,-0.82527,-0.29869,-0.4337
489,2.286,-0.4337,0.347
490,2.286,0.347,0.75393
491,2.286,0.75393,0.93079
492,-0.61855,0.93079,0.64643
493,-0.61855,0.64643,0.33011
494,-0.61855,0.33011,0.054238
495,3.8836,0.054238,0.87733
496,3.8836,0.87733,1.1086
497,3.8836,1.1086,1.1997
