,value__sum_values,value__median,value__mean,value__maximum,value__minimum,y,cat
195,-1.4229,-1.4229,-1.4229,-1.4229,-1.4229,-0.76166,-0.78567
196,-1.386,-1.386,-1.386,-1.386,-1.386,-0.78567,-0.80457
197,-1.4428,-1.4428,-1.4428,-1.4428,-1.4428,-0.80457,-0.82359
198,-1.077,-1.077,-1.077,-1.077,-1.077,-0.82359,-0.82348
199,-0.81243,-0.81243,-0.81243,-0.81243,-0.81243,-0.82348,-0.81099
200,-0.22757,-0.22757,-0.22757,-0.22757,-0.22757,-0.81099,-0.77019
201,0.089931,0.089931,0.089931,0.089931,0.089931,-0.77019,-0.71259
202,0.55102,0.55102,0.55102,0.55102,0.55102,-0.71259,-0.62569
203,0.61391,0.61391,0.61391,0.61391,0.61391,-0.62569,-0.53221
204,0.77467,0.77467,0.77467,0.77467,0.77467,-0.53221,-0.42496
205,0.58459,0.58459,0.58459,0.58459,0.58459,-0.42496,-0.33563
206,0.60739,0.60739,0.60739,0.60739,0.60739,-0.33563,-0.24799
207,0.41368,0.41368,0.41368,0.41368,0.41368,-0.24799,-0.1844
208,0.53402,0.53402,0.53402,0.53402,0.53402,-0.1844,-0.11396
209,0.46946,0.46946,0.46946,0.46946,0.46946,-0.11396,-0.05601
210,0.67432,0.67432,0.67432,0.67432,0.67432,-0.05601,0.016969
211,0.59846,0.59846,0.59846,0.59846,0.59846,0.016969,0.074978
212,0.6914,0.6914,0.6914,0.6914,0.6914,0.074978,0.1359
213,0.44727,0.44727,0.44727,0.44727,0.44727,0.1359,0.16625
214,0.39178,0.39178,0.39178,0.39178,0.39178,0.16625,0.18795
215,0.096791,0.096791,0.096791,0.096791,0.096791,0.18795,0.17892
216,0.13544,0.13544,0.13544,0.13544,0.13544,0.17892,0.17452
217,0.075717,0.075717,0.075717,0.075717,0.075717,0.17452,0.16475
218,0.43376,0.43376,0.43376,0.43376,0.43376,0.16475,0.19066
219,0.68584,0.68584,0.68584,0.68584,0.68584,0.19066,0.23771
220,1.2536,1.2536,1.2536,1.2536,1.2536,0.23771,0.3308
221,1.5493,1.5493,1.5493,1.5493,1.5493,0.3308,0.43444
222,1.9842,1.9842,1.9842,1.9842,1.9842,0.43444,0.55212
223,2.0164,2.0164,2.0164,2.0164,2.0164,0.55212,0.64737
224,2.1422,2.1422,2.1422,2.1422,2.1422,0.64737,0.72987
225,1.9131,1.9131,1.9131,1.9131,1.9131,0.72987,0.78365
226,1.8928,1.8928,1.8928,1.8928,1.8928,0.78365,0.82667
227,1.6521,1.6521,1.6521,1.6521,1.6521,0.82667,0.85191
228,1.7218,1.7218,1.7218,1.7218,1.7218,0.85191,0.87632
229,1.6032,1.6032,1.6032,1.6032,1.6032,0.87632,0.89249
230,1.7507,1.7507,1.7507,1.7507,1.7507,0.89249,0.91207
231,1.6145,1.6145,1.6145,1.6145,1.6145,0.91207,0.92397
232,1.6442,1.6442,1.6442,1.6442,1.6442,0.92397,0.93542
233,1.3343,1.3343,1.3343,1.3343,1.3343,0.93542,0.93465
234,1.2107,1.2107,1.2107,1.2107,1.2107,0.93465,0.92956
235,0.84557,0.84557,0.84557,0.84557,0.84557,0.92956,0.91146
236,0.81222,0.81222,0.81222,0.81222,0.81222,0.91146,0.8931
237,0.67894,0.67894,0.67894,0.67894,0.67894,0.8931,0.87032
238,0.96216,0.96216,0.96216,0.96216,0.96216,0.87032,0.86091
239,1.1384,1.1384,1.1384,1.1384,1.1384,0.86091,0.85984
240,1.6296,1.6296,1.6296,1.6296,1.6296,0.85984,0.87933
241,1.8484,1.8484,1.8484,1.8484,1.8484,0.87933,0.90457
242,2.2061,2.2061,2.2061,2.2061,2.2061,0.90457,0.93868
243,2.1614,2.1614,2.1614,2.1614,2.1614,0.93868,0.96545
244,2.2106,2.2106,2.2106,2.2106,2.2106,0.96545,0.98937
245,1.9055,1.9055,1.9055,1.9055,1.9055,0.98937,1.0008
246,1.8103,1.8103,1.8103,1.8103,1.8103,1.0008,1.008
247,1.4959,1.4959,1.4959,1.4959,1.4959,1.008,1.0054
248,1.4935,1.4935,1.4935,1.4935,1.4935,1.0054,1.003
249,1.3044,1.3044,1.3044,1.3044,1.3044,1.003,0.99532
250,1.3835,1.3835,1.3835,1.3835,1.3835,0.99532,0.99061
251,1.1811,1.1811,1.1811,1.1811,1.1811,0.99061,0.98009
252,1.1471,1.1471,1.1471,1.1471,1.1471,0.98009,0.96924
253,0.7762,0.7762,0.7762,0.7762,0.7762,0.96924,0.94673
254,0.59451,0.59451,0.59451,0.59451,0.59451,0.94673,0.91856
255,0.17435,0.17435,0.17435,0.17435,0.17435,0.91856,0.87435
256,0.08932,0.08932,0.08932,0.08932,0.08932,0.87435,0.82623
257,-0.092176,-0.092176,-0.092176,-0.092176,-0.092176,0.82623,0.76885
258,0.14645,0.14645,0.14645,0.14645,0.14645,0.76885,0.72466
259,0.28188,0.28188,0.28188,0.28188,0.28188,0.72466,0.6898
260,0.73612,0.73612,0.73612,0.73612,0.73612,0.6898,0.68449
261,0.92199,0.92199,0.92199,0.92199,0.92199,0.68449,0.69081
262,1.2509,1.2509,1.2509,1.2509,1.2509,0.69081,0.71549
263,1.1815,1.1815,1.1815,1.1815,1.1815,0.71549,0.73301
264,1.2103,1.2103,1.2103,1.2103,1.2103,0.73301,0.74986
265,0.88906,0.88906,0.88906,0.88906,0.88906,0.74986,0.74759
266,0.78201,0.78201,0.78201,0.78201,0.78201,0.74759,0.73974
267,0.46016,0.46016,0.46016,0.46016,0.46016,0.73974,0.71449
268,0.45452,0.45452,0.45452,0.45452,0.45452,0.71449,0.69044
269,0.26656,0.26656,0.26656,0.26656,0.26656,0.69044,0.65626
270,0.35101,0.35101,0.35101,0.35101,0.35101,0.65626,0.62941
271,0.15813,0.15813,0.15813,0.15813,0.15813,0.62941,0.59114
272,0.13784,0.13784,0.13784,0.13784,0.13784,0.59114,0.55345
273,-0.21538,-0.21538,-0.21538,-0.21538,-0.21538,0.55345,0.4909
274,-0.37546,-0.37546,-0.37546,-0.37546,-0.37546,0.4909,0.41747
275,-0.77021,-0.77021,-0.77021,-0.77021,-0.77021,0.41747,0.31167
276,-0.82619,-0.82619,-0.82619,-0.82619,-0.82619,0.31167,0.20444
277,-0.97512,-0.97512,-0.97512,-0.97512,-0.97512,0.20444,0.088852
278,-0.70059,-0.70059,-0.70059,-0.70059,-0.70059,0.088852,0.010118
279,-0.52609,-0.52609,-0.52609,-0.52609,-0.52609,0.010118,-0.043475
280,-0.029803,-0.029803,-0.029803,-0.029803,-0.029803,-0.043475,-0.042108
281,0.20087,0.20087,0.20087,0.20087,0.20087,-0.042108,-0.01783
282,0.57712,0.57712,0.57712,0.57712,0.57712,-0.01783,0.041638
283,0.55741,0.55741,0.55741,0.55741,0.55741,0.041638,0.092968
284,0.63802,0.63802,0.63802,0.63802,0.63802,0.092968,0.14666
285,0.37049,0.37049,0.37049,0.37049,0.37049,0.14666,0.16838
286,0.31872,0.31872,0.31872,0.31872,0.31872,0.16838,0.1828
287,0.053532,0.053532,0.053532,0.053532,0.053532,0.1828,0.17007
288,0.10565,0.10565,0.10565,0.10565,0.10565,0.17007,0.16365
289,-0.023703,-0.023703,-0.023703,-0.023703,-0.023703,0.16365,0.14521
290,0.11994,0.11994,0.11994,0.11994,0.11994,0.14521,0.14264
291,-0.013423,-0.013423,-0.013423,-0.013423,-0.013423,0.14264,0.12722
292,0.02585,0.02585,0.02585,0.02585,0.02585,0.12722,0.11716
293,-0.26802,-0.26802,-0.26802,-0.26802,-0.26802,0.11716,0.078966
294,-0.36922,-0.36922,-0.36922,-0.36922,-0.36922,0.078966,0.034282
295,-0.70584,-0.70584,-0.70584,-0.70584,-0.70584,0.034282,-0.039698
296,-0.70468,-0.70468,-0.70468,-0.70468,-0.70468,-0.039698,-0.10582
297,-0.79772,-0.79772,-0.79772,-0.79772,-0.79772,-0.10582,-0.1736
298,-0.46879,-0.46879,-0.46879,-0.46879,-0.46879,-0.1736,-0.20192
299,-0.24164,-0.24164,-0.24164,-0.24164,-0.24164,-0.20192,-0.20546
300,0.30534,0.30534,0.30534,0.30534,0.30534,-0.20546,-0.15575
301,0.5845,0.5845,0.5845,0.5845,0.5845,-0.15575,-0.082685
302,1.0068,1.0068,1.0068,1.0068,1.0068,-0.082685,0.02609
303,1.0306,1.0306,1.0306,1.0306,1.0306,0.02609,0.12588
304,1.1519,1.1519,1.1519,1.1519,1.1519,0.12588,0.22519
305,0.92199,0.92199,0.92199,0.92199,0.92199,0.22519,0.28996
306,0.90474,0.90474,0.90474,0.90474,0.90474,0.28996,0.34468
307,0.67075,0.67075,0.67075,0.67075,0.67075,0.34468,0.37201
308,0.75062,0.75062,0.75062,0.75062,0.75062,0.37201,0.40291
309,0.64543,0.64543,0.64543,0.64543,0.64543,0.40291,0.42131
310,0.80956,0.80956,0.80956,0.80956,0.80956,0.42131,0.451
311,0.69288,0.69288,0.69288,0.69288,0.69288,0.451,0.46776
312,0.74498,0.74498,0.74498,0.74498,0.74498,0.46776,0.48668
313,0.46002,0.46002,0.46002,0.46002,0.46002,0.48668,0.48126
314,0.36373,0.36373,0.36373,0.36373,0.36373,0.48126,0.46873
315,0.028038,0.028038,0.028038,0.028038,0.028038,0.46873,0.42993
316,0.026104,0.026104,0.026104,0.026104,0.026104,0.42993,0.39362
317,-0.074047,-0.074047,-0.074047,-0.074047,-0.074047,0.39362,0.35117
318,0.24377,0.24377,0.24377,0.24377,0.24377,0.35117,0.34032
319,0.45587,0.45587,0.45587,0.45587,0.45587,0.34032,0.34934
320,0.98389,0.98389,0.98389,0.98389,0.98389,0.34934,0.40292
321,1.2403,1.2403,1.2403,1.2403,1.2403,0.40292,0.46974
322,1.6361,1.6361,1.6361,1.6361,1.6361,0.46974,0.55535
323,1.6297,1.6297,1.6297,1.6297,1.6297,0.55535,0.62495
324,1.7172,1.7172,1.7172,1.7172,1.7172,0.62495,0.68741
325,1.4503,1.4503,1.4503,1.4503,1.4503,0.68741,0.72386
326,1.3928,1.3928,1.3928,1.3928,1.3928,0.72386,0.75171
327,1.1154,1.1154,1.1154,1.1154,1.1154,0.75171,0.76126
328,1.149,1.149,1.149,1.149,1.149,0.76126,0.77144
329,0.99481,0.99481,0.99481,0.99481,0.99481,0.77144,0.77259
330,1.1074,1.1074,1.1074,1.1074,1.1074,0.77259,0.77935
331,0.93696,0.93696,0.93696,0.93696,0.93696,0.77935,0.77676
332,0.93319,0.93319,0.93319,0.93319,0.93319,0.77676,0.77423
333,0.5905,0.5905,0.5905,0.5905,0.5905,0.77423,0.75404
334,0.43488,0.43488,0.43488,0.43488,0.43488,0.75404,0.72656
335,0.038488,0.038488,0.038488,0.038488,0.038488,0.72656,0.677
336,-0.025251,-0.025251,-0.025251,-0.025251,-0.025251,0.677,0.62456
337,-0.18806,-0.18806,-0.18806,-0.18806,-0.18806,0.62456,0.56214
338,0.066511,0.066511,0.066511,0.066511,0.066511,0.56214,0.52077
339,0.21504,0.21504,0.21504,0.21504,0.21504,0.52077,0.49338
340,0.67942,0.67942,0.67942,0.67942,0.67942,0.49338,0.5043
341,0.87239,0.87239,0.87239,0.87239,0.87239,0.5043,0.52853
342,1.2053,1.2053,1.2053,1.2053,1.2053,0.52853,0.57362
343,1.1367,1.1367,1.1367,1.1367,1.1367,0.57362,0.60746
344,1.1631,1.1631,1.1631,1.1631,1.1631,0.60746,0.63832
345,0.83628,0.83628,0.83628,0.83628,0.83628,0.63832,0.64438
346,0.72039,0.72039,0.72039,0.72039,0.72039,0.64438,0.64239
347,0.38647,0.38647,0.38647,0.38647,0.38647,0.64239,0.6188
348,0.36556,0.36556,0.36556,0.36556,0.36556,0.6188,0.59542
349,0.15916,0.15916,0.15916,0.15916,0.15916,0.59542,0.55904
350,0.22208,0.22208,0.22208,0.22208,0.22208,0.55904,0.52951
351,0.004635,0.004635,0.004635,0.004635,0.004635,0.52951,0.48517
352,-0.043163,-0.043163,-0.043163,-0.043163,-0.043163,0.48517,0.43949
353,-0.42672,-0.42672,-0.42672,-0.42672,-0.42672,0.43949,0.36356
354,-0.61987,-0.61987,-0.61987,-0.61987,-0.61987,0.36356,0.27341
355,-1.0503,-1.0503,-1.0503,-1.0503,-1.0503,0.27341,0.14631
